Wavelength,Absorption
802,-0.001718
803,-0.001877
804,-0.002036
805,-0.002195
806,-0.002354
807,-0.002513
808,-0.002671
809,-0.00283
810,-0.002989
811,-0.003148
812,-0.003307
813,-0.003466
814,-0.003625
815,-0.003784
816,-0.003943
817,-0.004102
818,-0.004261
819,-0.00442
820,-0.004579
821,-0.004738
822,-0.004896
823,-0.005055
824,-0.005214
825,-0.005373
826,-0.005532
827,-0.005691
828,-0.00585
829,-0.006009
830,-0.006168
831,-0.006327
832,-0.006486
833,-0.006645
834,-0.006804
835,-0.006963
836,-0.007121
837,-0.00728
838,-0.007439
839,-0.007598
840,-0.007757
841,-0.007916
842,-0.008075
843,-0.008234
844,-0.008393
845,-0.008552
846,-0.008711
847,-0.00887
848,-0.009029
849,-0.009188
850,-0.009346
851,-0.009505
852,-0.009664
853,-0.009823
854,-0.009982
855,-0.010141
856,-0.0103
857,-0.010459
858,-0.010618
859,-0.010777
860,-0.010936
861,-0.011095
862,-0.011254
863,-0.011413
864,-0.011571
865,-0.01173
866,-0.011889
867,-0.012048
868,-0.012207
869,-0.012366
870,-0.012525
871,-0.012684
872,-0.012843
873,-0.013002
874,-0.013161
875,-0.01332
876,-0.013479
877,-0.013638
878,-0.013796
879,-0.013955
880,-0.014114
881,-0.014273
882,-0.014432
883,-0.014591
884,-0.01475
885,-0.014909
886,-0.015068
887,-0.015227
888,-0.015386
889,-0.015545
890,-0.015704
891,-0.015863
892,-0.016021
893,-0.01618
894,-0.016339
895,-0.016498
896,-0.016657
897,-0.016816
898,-0.016975
899,-0.017134
900,-0.017293
