Wavelength,Absorption
340,0.14536685890027884
341,0.14015806388113028
342,0.13507901981312673
343,0.13012809407378773
344,0.1253036540406331
345,0.12060406709118235
346,0.11602770060295503
347,0.111572921953471
348,0.10723809852024975
349,0.10302159768081097
350,0.09892178681267423
351,0.09493703329335931
352,0.09106570450038567
353,0.08730616781127301
354,0.08365679060354106
355,0.08011594025470936
356,0.07668198414229768
357,0.0733532896438254
358,0.0701282241368124
359,0.06700515499877814
360,0.06398244960724248
361,0.06105847533972481
362,0.058231599573744915
363,0.055500189686822445
364,0.05286261305647691
365,0.05031723706022813
366,0.04786242907559564
367,0.045496556480099024
368,0.043217986651257985
369,0.04102508696659219
370,0.038916224803621224
371,0.03688976753986475
372,0.0349440825528424
373,0.03307753722007379
374,0.03128849891907858
375,0.02957533502737643
376,0.02793641292248693
377,0.02637009998192975
378,0.024874763583224532
379,0.0234487711038909
380,0.02209048992144849
381,0.020798287413416938
382,0.019570530957315882
383,0.01840558793066498
384,0.017301825710983848
385,0.01625761167579214
386,0.015271313202609481
387,0.014341297668955508
388,0.013465932452349864
389,0.012643584930312191
390,0.011872622480362124
391,0.01115141248001929
392,0.010478322306803343
393,0.009851719338233918
394,0.009269970951830641
395,0.008731444525113163
396,0.00823450743560112
397,0.007777527060814139
398,0.007358870778271867
399,0.006976905965493941
400,0.00663
401,0.006316520259309679
402,0.006034834120942617
403,0.005783308962418454
404,0.005560312161256825
405,0.005364211094977368
406,0.005193373141099722
407,0.005046165677143522
408,0.0049209560806284134
409,0.004816111729074026
410,0.00473
411,0.004660988270925975
412,0.0046074439193715885
413,0.004567734322856477
414,0.004540226858900279
415,0.004523288905022633
416,0.004515287838743176
417,0.0045145910375815465
418,0.004519565879057382
419,0.00452857974069032
420,0.00454
421,0.00455271665698642
422,0.004567710201571029
423,0.0045864837461556405
424,0.004610540403142061
425,0.004641383284932102
426,0.004680515503927576
427,0.004729440172530292
428,0.00478966040314206
429,0.004862679308164693
430,0.00495
431,0.005052535101128344
432,0.005168835274344293
433,0.005296860692520967
434,0.005434571528531483
435,0.0055799279552489625
436,0.005730890145546527
437,0.005885418272297291
438,0.006041472508374378
439,0.006197013026650908
440,0.00635
441,0.006498612938500204
442,0.006641908701051798
443,0.0067791634837605
444,0.006909653482732014
445,0.007032654894072051
446,0.007147443913886326
447,0.007253296738280547
448,0.007349489563360425
449,0.007435298585231672
450,0.007509999999999999
451,0.007573333144870839
452,0.007626889921448505
453,0.007672725372437036
454,0.007712894540540467
455,0.007749452468462833
456,0.007784454198908175
457,0.007819954774580527
458,0.007858009238183923
459,0.007900672632422402
460,0.007950000000000002
461,0.008007134482016441
462,0.008069571613154178
463,0.008133895026491362
464,0.008196688355106126
465,0.008254535232076619
466,0.008304019290480982
467,0.008341724163397358
468,0.008364233483903891
469,0.008368130885078725
470,0.00835
471,0.008309178927063402
472,0.008256023625934781
473,0.008203644521597532
474,0.008165152039035041
475,0.008153656603230702
476,0.008182268639167909
477,0.00826409857183005
478,0.008412256826200514
479,0.008639853827262702
480,0.00896
481,0.00938066980972995
482,0.00988929388310669
483,0.010468166887118519
484,0.011099583488753718
485,0.011765838355000576
486,0.012449226152847395
487,0.013132041549282455
488,0.013796579211294046
489,0.014425133805870467
490,0.015
491,0.0155099718340168
492,0.01596984084163845
493,0.016400897929928406
494,0.016824434005950104
495,0.017261739976766995
496,0.01773410674944253
497,0.01826282523104015
498,0.018869186328623302
499,0.019574480949255436
500,0.0204
501,0.021359582854202856
502,0.02243726275033951
503,0.023609621393167884
504,0.024853240487445895
505,0.026144701737931465
506,0.027460586849382525
507,0.028777477526556985
508,0.030071955474212764
509,0.0313206023971078
510,0.0325
511,0.03359099674917179
512,0.034591508157003535
513,0.03550371649740012
514,0.036329804044266376
515,0.03707195307150719
516,0.03773234585302744
517,0.03831316466273198
518,0.03881659177452567
519,0.03924480946231339
520,0.03960000000000001
521,0.039885630149110014
522,0.04011030462164638
523,0.04028391261723174
524,0.040416343335488686
525,0.04051748597603983
526,0.0405972297385078
527,0.040665463822515194
528,0.04073207742768461
529,0.040806959753638676
530,0.040900000000000006
531,0.041017782654388206
532,0.041153673356410965
533,0.041297733033672984
534,0.04144002261377894
535,0.04157060302433351
536,0.04167953519294141
537,0.04175688004720732
538,0.04179269851473592
539,0.041777051523131915
540,0.0417
541,0.04155963923333718
542,0.04138620195270975
543,0.041217955248076366
544,0.04109316620939563
545,0.04105010192662616
546,0.04112702948972661
547,0.04136221598865559
548,0.04179392851337172
549,0.04246043415383366
550,0.0434
551,0.04463426041226309
552,0.046118318832750006
553,0.0477906459740216
554,0.049589712548638615
555,0.05145398926916188
556,0.05332194684815221
557,0.05513205599817038
558,0.05682278743177718
559,0.05833261186153347
560,0.0596
561,0.06057991911761048
562,0.06129332271629019
563,0.0617776608558373
564,0.06207038359604996
565,0.06220894099672634
566,0.062230783117664626
567,0.06217336001866296
568,0.06207412175951951
569,0.06197051840003248
570,0.06190000000000001
571,0.061892963117294995
572,0.06195159030208922
573,0.06207101060262926
574,0.06224635306716161
575,0.0624727467439328
576,0.06274532068118938
577,0.06305920392717786
578,0.06340952553014476
579,0.06379141453833663
580,0.0642
581,0.06463122841320959
582,0.06508431607535292
583,0.06555929673364572
584,0.06605620413530368
585,0.0665750720275425
586,0.06711593415757795
587,0.06767882427262571
588,0.06826377611990148
589,0.06887082344662102
590,0.0695
591,0.07015152322986667
592,0.07082634539649911
593,0.07152560246278797
594,0.07225043039162381
595,0.07300196514589725
596,0.07378134268849895
597,0.07458969898231946
