Wavelength,Absorption
400,0.00736012853642358
401,0.0072701534366474
402,0.00718127825225174
403,0.00709348953714041
404,0.00700677400959127
405,0.00692111855024674
406,0.00683651020012902
407,0.00675293615867942
408,0.0066703837818218
409,0.00658884058004961
410,0.00650829421653633
411,0.00642873250526897
412,0.00635014340920449
413,0.00627251503844864
414,0.00619583564845714
415,0.00612009363825882
416,0.00604527754870049
417,0.00597137606071326
418,0.00589837799360004
419,0.00582627230334404
420,0.00575504808093782
421,0.00568469455073294
422,0.00561520106880962
423,0.00554655712136642
424,0.00547875232312961
425,0.00541177641578193
426,0.0053456192664106
427,0.00528027086597431
428,0.00521572132778892
429,0.00515196088603167
430,0.0050889798942637
431,0.00502676882397065
432,0.00496531826312103
433,0.00490461891474228
434,0.00484466159551419
435,0.0047854372343796
436,0.00472693687117193
437,0.00466915165525964
438,0.00461207284420722
439,0.00455569180245245
440,0.0045
441,0.00444498901113084
442,0.00439065051312754
443,0.00433697628501508
444,0.00428395820631713
445,0.00423158825582743
446,0.00417985851039627
447,0.00412876114373181
448,0.00407828842521598
449,0.00402843271873491
450,0.00397918648152369
451,0.00393054226302516
452,0.0038824927037627
453,0.00383503053422686
454,0.00378814857377547
455,0.00374183972954732
456,0.00369609699538903
457,0.0036509134507951
458,0.00360628225986088
459,0.00356219667024838
460,0.00351865001216465
461,0.00347563569735272
462,0.00343314721809487
463,0.00339117814622802
464,0.00334972213217125
465,0.0033087729039651
466,0.00326832426632275
467,0.00322837009969264
468,0.0031889043593327
469,0.00314992107439579
470,0.00311141434702639
471,0.00307337835146825
472,0.00303580733318306
473,0.00299869560797981
474,0.00296203756115479
475,0.00292582764664219
476,0.00289006038617496
477,0.00285473036845605
478,0.0028198322483397
479,0.00278536074602274
480,0.00275131064624584
481,0.00271767679750445
482,0.00268445411126945
483,0.00265163756121727
484,0.00261922218246946
485,0.00258720307084153
486,0.00255557538210101
487,0.00252433433123455
488,0.00249347519172398
489,0.00246299329483121
490,0.00243288402889192
491,0.00240314283861785
492,0.00237376522440758
493,0.00234474674166583
494,0.00231608300013099
495,0.00228776966321093
496,0.00225980244732691
497,0.00223217712126548
498,0.00220488950553839
499,0.00217793547175019
500,0.0021513109419737
501,0.00212501188813303
502,0.00209903433139416
503,0.00207337434156298
504,0.00204802803649068
505,0.00202299158148643
506,0.0019982611887372
507,0.00197383311673469
508,0.00194970366970929
509,0.00192586919707095
510,0.00190232609285683
511,0.0018790707951858
512,0.0018560997857195
513,0.00183340958913011
514,0.0018109967725745
515,0.0017888579451749
516,0.00176698975750589
517,0.00174538890108765
518,0.00172405210788541
519,0.00170297614981503
520,0.0016821578382546
521,0.00166159402356207
522,0.00164128159459868
523,0.00162121747825832
524,0.00160139863900255
525,0.00158182207840138
526,0.00156248483467962
527,0.00154338398226878
528,0.00152451663136446
529,0.00150587992748916
530,0.0014874710510604
531,0.00146928721696416
532,0.00145132567413349
533,0.00143358370513232
534,0.00141605862574431
535,0.00139874778456678
536,0.00138164856260954
537,0.00136475837289869
538,0.00134807466008522
539,0.00133159490005839
540,0.00131531659956387
541,0.00129923729582653
542,0.00128335455617784
543,0.00126766597768782
544,0.00125216918680151
545,0.00123686183897985
546,0.001221741618345
547,0.00120680623732994
548,0.00119205343633239
549,0.00117748098337294
550,0.00116308667375739
551,0.00114886832974318
552,0.00113482380020993
553,0.00112095096033397
554,0.0011072477112669
555,0.00109371197981804
556,0.00108034171814074
557,0.00106713490342262
558,0.00105408953757949
559,0.00104120364695307
560,0.00102847528201239
561,0.00101590251705884
562,0.00100348344993482
563,0.000991216201735988
564,0.000979098916526959
565,0.000967129761060543
566,0.000955306924500379
567,0.000943628618146974
568,0.000932093075167084
569,0.000920698550326409
570,0.000909443319725551
571,0.000898325680539205
572,0.000887343950758534
573,0.00087649646893669
574,0.00086578159393746
575,0.000855197704686967
576,0.000844743199928419
577,0.00083441649797985
578,0.000824216036494824
579,0.000814140272226068
580,0.000804187680791987
581,0.00079435675644604
582,0.00078464601184893
583,0.000775053977843584
584,0.000765579203232884
585,0.000756220254560105
586,0.000746975715892051
587,0.000737844188604835
588,0.000728824291172276
589,0.000719914658956887
590,0.000711113944003415
591,0.000702420814834909
592,0.000693833956251276
593,0.000685352069130301
594,0.000676973870231105
595,0.000668698091999995
596,0.000660523482378697
597,0.000652448804614929
