Wavelength,Backscatter
400,0.029301854612213418
401,0.02923608164363565
402,0.029170619581038813
403,0.029105466186856145
404,0.02904061924512384
405,0.02897607656121964
406,0.028911835961605244
407,0.028847895293572415
408,0.02878425242499282
409,0.028720905244071407
410,0.0286578516591034
411,0.028595089598234723
412,0.028532617009225922
413,0.02847043185921936
414,0.02840853213450985
415,0.02834691584031846
416,0.02828558100056956
417,0.028224525657671022
418,0.028163747872297532
419,0.028103245723176927
420,0.028043017306879553
421,0.02798306073761058
422,0.02792337414700522
423,0.02786395568392677
424,0.027804803514267496
425,0.027745915820752306
426,0.027687290802745068
427,0.0276289266760577
428,0.027570821672761776
429,0.027512974041002853
430,0.02745538204481723
431,0.027398043963951308
432,0.02734095809368334
433,0.027284122744647667
434,0.027227536242661325
435,0.027171196928552993
436,0.027115103157994258
437,0.027059253301333176
438,0.027003645743430074
439,0.026948278883495526
440,0.026893151134930533
441,0.026838260925168857
442,0.026783606695521395
443,0.026729186901022706
444,0.026675000010279518
445,0.026621044505321257
446,0.026567318881452594
447,0.026513821647107874
448,0.026460551323707508
449,0.026407506445516232
450,0.026354685559503245
451,0.026302087225204135
452,0.02624971001458468
453,0.02619755251190633
454,0.026145613313593514
455,0.026093891028102636
456,0.026042384275792765
457,0.025991091688798006
458,0.025940011910901496
459,0.025889143597411044
460,0.025838485415036357
461,0.025788036041767826
462,0.025737794166756874
463,0.025687758490197818
464,0.025637927723211253
465,0.025588300587728898
466,0.025538875816379886
467,0.025489652152378542
468,0.025440628349413515
469,0.02539180317153835
470,0.02534317539306341
471,0.02529474379844915
472,0.025246507182200763
473,0.025198464348764077
474,0.0251506141124228
475,0.02510295529719702
476,0.025055486736742977
477,0.02500820727425406
478,0.02496111576236301
479,0.024914211063045377
480,0.02486749204752412
481,0.024820957596175405
482,0.024774606598435524
483,0.024728437952709004
484,0.024682450566277755
485,0.024636643355211423
486,0.024591015244278744
487,0.024545565166860028
488,0.02450029206486068
489,0.02445519488862575
490,0.02441027259685553
491,0.024365524156522197
492,0.024320948542787386
493,0.02427654473892078
494,0.024232311736219717
495,0.02418824853392968
496,0.0241443541391658
497,0.02410062756683521
498,0.02405706783956043
499,0.024013673987603568
500,0.023970445048791426
501,0.023927380068441542
502,0.023884478099289043
503,0.023841738201414386
504,0.023799159442171945
505,0.023756740896119417
506,0.02371448164494804
507,0.023672380777413685
508,0.023630437389268694
509,0.023588650583194475
510,0.023547019468734994
511,0.02350554316223091
512,0.02346422078675453
513,0.023423051472045542
514,0.02338203435444739
515,0.023341168576844488
516,0.023300453288600063
517,0.023259887645494772
518,0.023219470809665962
519,0.02317920194954768
520,0.023139080239811316
521,0.023099104861306927
522,0.02305927500100526
523,0.023019589851940365
524,0.02298004861315293
525,0.02294065048963418
526,0.022901394692270455
527,0.022862280437788405
528,0.022823306948700745
529,0.022784473453252695
530,0.02274577918536897
531,0.022707223384601346
532,0.022668805296076837
533,0.022630524170446444
534,0.02259237926383445
535,0.022554369837788288
536,0.022516495159228975
537,0.022478754500402043
538,0.022441147138829082
539,0.022403672357259725
540,0.022366329443624242
541,0.022329117690986586
542,0.022292036397498008
543,0.022255084866351107
544,0.022218262405734438
545,0.022181568328787604
546,0.022145001953556797
547,0.022108562602950837
548,0.0220722496046977
549,0.02203606229130152
550,0.022
551,0.02196406207272232
552,0.02192824785604751
553,0.021892556701163222
554,0.021856987963824976
555,0.021821541004315825
556,0.021786215187406442
557,0.021751009882315656
558,0.021715924462671364
559,0.02168095830647191
560,0.021646110796047807
561,0.021611381318023915
562,0.021576769263281993
563,0.021542274026923647
564,0.02150789500823366
565,0.021473631610643702
566,0.02143948324169646
567,0.021405449313010055
568,0.021371529240242944
569,0.02133772244305905
570,0.0213040283450934
571,0.021270446373917992
572,0.02123697596100809
573,0.02120361654170883
574,0.021170367555202192
575,0.021137228444474295
576,0.021104198656283043
577,0.02107127764112607
578,0.021038464853209045
579,0.021005759750414306
580,0.02097316179426976
581,0.020940670449918174
582,0.020908285186086697
583,0.020876005475056775
584,0.020843830792634282
585,0.020811760618120033
586,0.02077979443428054
587,0.02074793172731908
588,0.020716171986847064
589,0.02068451470585566
590,0.02065295938068774
591,0.020621505511010094
592,0.02059015259978589
593,0.020558900153247458
594,0.020527747680869304
595,0.020496694695341412
596,0.02046574071254282
597,0.02043488525151542
598,0.020404127834438048
599,0.02037346798660083
600,0.02034290523637976
601,0.020312439115211547
602,0.02028206915756868
603,0.020251794900934796
604,0.020221615885780208
605,0.02019153165553774
606,0.020161541756578756
607,0.020131645738189454
608,0.020101843152547344
609,0.020072133554698023
610,0.020042516502532096
611,0.020012991556762377
612,0.019983558280901294
613,0.019954216241238495
614,0.01992496500681869
615,0.019895804149419716
616,0.019866733243530752
617,0.019837751866330824
618,0.01980885959766746
619,0.019780056020035568
620,0.019751340718556505
621,0.01972271328095736
622,0.01969417329755042
623,0.019665720361212835
624,0.01963735406736648
625,0.019609074013958
626,0.019580879801439036
627,0.01955277103274667
628,0.01952474731328401
629,0.01949680825090098
630,0.01946895345587531
631,0.019441182540893647
632,0.019413495121032902
633,0.01938589081374173
634,0.019358369238822216
635,0.0193309300184117
636,0.019303572776964775
637,0.019276297141235493
638,0.019249102740259663
639,0.019221989205337388
640,0.019194956170015702
641,0.01916800327007141
642,0.019141130143494042
643,0.01911433643046903
644,0.019087621773360968
645,0.019060985816697063
646,0.01903442820715073
647,0.019007948593525344
648,0.01898154662673812
649,0.018955221959804164
650,0.018928974247820654
651,0.018902803147951158
652,0.018876708319410112
653,0.018850689423447427
654,0.018824746123333243
655,0.018798878084342805
656,0.018773084973741493
657,0.018747366460769972
658,0.01872172221662948
659,0.018696151914467263
660,0.01867065522936211
661,0.018645231838310034
662,0.018619881420210097
663,0.018594603655850323
664,0.018569398227893774
665,0.018544264820864718
666,0.018519203121134954
667,0.018494212816910216
668,0.01846929359821673
669,0.018444445156887892
670,0.018419667186551022
671,0.01839495938261429
672,0.018370321442253708
673,0.01834575306440028
674,0.018321253949727216
675,0.01829682380063731
676,0.018272462321250384
677,0.018248169217390864
678,0.018223944196575474
679,0.01819978696800099
680,0.018175697242532166
681,0.018151674732689714
682,0.018127719152638416
683,0.018103830218175316
684,0.018080007646718035
685,0.018056251157293163
686,0.0180325604705248
687,0.01800893530862312
688,0.017985375395373097
689,0.017961880456123305
690,0.0179384502177748
691,0.017915084408770123
692,0.017891782759082382
693,0.01786854500020442
694,0.0178453708651381
695,0.017822260088383644
696,0.017799212405929108
697,0.017776227555239898
698,0.01775330527524842
699,0.017730445306343764
700,0.017707647390361562
701,0.017684911270573804
702,0.017662236691678875
703,0.017639623399791568
704,0.017617071142433254
705,0.017594579668522087
706,0.01757214872836332
707,0.017549778073639687
708,0.017527467457401857
709,0.017505216634059004
710,0.017483025359369405
711,0.01746089339043117
712,0.017438820485672992
713,0.017416806404845015
714,0.017394850909009763
715,0.017372953760533157
716,0.017351114723075572
717,0.01732933356158301
718,0.017307610042278317
719,0.017285943932652474
720,0.017264335001455983
721,0.01724278301869029
722,0.01722128775559931
723,0.01719984898466098
724,0.01717846647957895
725,0.01715714001527425
726,0.017135869367877105
727,0.017114654314718772
728,0.01709349463432346
729,0.01707239010640031
730,0.017051340511835437
731,0.017030345632684046
732,0.0170094052521626
733,0.016988519154641068
734,0.0169676871256352
735,0.016946908951798914
736,0.016926184420916705
737,0.01690551332189613
738,0.016884895444760344
739,0.016864330580640727
740,0.016843818521769506
741,0.016823359061472518
742,0.016802951994161944
743,0.01678259711532918
744,0.01676229422153772
745,0.016742043110416077
746,0.016721843580650833
747,0.016701695431979666
748,0.016681598465184466
749,0.016661552482084518
750,0.016641557285529705
751,0.016621612679393813
752,0.01660171846856782
753,0.016581874458953306
754,0.01656208045745587
755,0.016542336271978625
756,0.016522641711415726
757,0.016502996585645933
758,0.016483400705526303
759,0.016463853882885803
760,0.01644435593051911
761,0.016424906662180327
762,0.016405505892576878
763,0.016386153437363334
764,0.016366849113135365
765,0.016347592737423706
766,0.01632838412868817
